Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Dihydrotestosterone (DHT), known as androstanolone or stanolone when used medically, and its esters are also notable, although they are not widely used in medicine.","Dihydrotestosterone, androstanolone, stanolone",,,Testosterone,Steroids,Esther
Boldenone undecylenate and trenbolone acetate are used in veterinary medicine.,"Boldenone Undecylenate, Trenbolone Acetate",,,Testosterone,Steroids,Veterinary Medicine
Designer steroids are those that are not approved and marketed for medical use but are distributed through the black market.,Designer steroids,,,Testosterone,Steroids,
"Examples of designer steroids include 1-testosterone (dihydroboldenone), methasterone, trenbolone enanthate, desoxymethyltestosterone, tetrahydrogestrinone, and methylstenbolone.","Testosterone, Methasterone, Trenbolone Enanthate",,,Testosterone,Steroids,Designer steroids
There are four common forms in which it is administered: oral pills; injectable steroids; creams/gels for topical application; and skin patches.,,,,Testosterone,Steroids,"Oral pills, injectable steroids"
"Oral administration is most convenient. Testosterone administered by mouth is rapidly absorbed, but it is largely converted to inactive metabolites and only about one-sixth is available in the active form. To be sufficiently active when given orally, testosterone derivatives are alkylated at the 17α position, such as methyltestosterone and fluoxymesterone.","Testosterone, methyltestosterone",,,Testosterone,Steroids,17α alkylated
" Testosterone can be administered parenterally, but it has a more erratic prolonged absorption time and greater activity in the muscle in the enanthate, undecanoate, or cypionate ester form.","Testosterone, Testosterone Enanthate, Testosterone Undecanoate, Testosterone Cypionate",,,Testosterone,Steroids,Esther
"These derivatives are hydrolyzed to release free testosterone at the injection site; the rate of absorption (and thus the injection schedule) varies between different esters, but medical injections are typically given anywhere from semi-weekly to once every 12 weeks.","Testosterone, testosterone derivatives",,,Testosterone,Steroids,Injection
" more frequent schedule may be desirable to maintain a more constant level of the hormone in the system. [ 77 ] Injectable steroids are usually given intramuscularly rather than intravenously to avoid sudden changes in the amount of drug in the bloodstream. In addition, because the ester testosterone is oil-soluble, intravenous injection can cause a dangerous embolism (clot) in the bloodstream.",Testosterone," Muscles, veins",Embolism,Testosterone,Steroids,Injection
Transdermal patches (adhesive patches placed on the skin) can also be used to deliver a steady dose through the skin and into the bloodstream. Creams and gels containing testosterone that are applied to the skin daily are also available.,Testosterone,Skin,,Testosterone,Steroids,Transdermal
"However, absorption is inefficient (about 10%, varying between individuals) and these treatments tend to be more expensive. Individuals who are particularly physically active and/or bathe frequently may not be good candidates, as the medication can be washed off and can take up to six hours to be fully absorbed.",Testosterone,Skin,,Testosterone,Steroids,
"Children and women are highly sensitive to testosterone and can produce unwanted masculinization and health effects, even from small doses. Injection is the most common method used by individuals administering AAS for non-medical purposes.",Testosterone,,Masculinization,Testosterone,Steroids,Injection
"Depending on the length of drug use, there is a possibility of immune system damage. Most of these side-effects are dose-dependent, the most common being high blood pressure, especially in those with pre-existing hypertension. In addition to morphological changes in the heart, which can have a permanent adverse effect on cardiovascular efficiency.","Immune system, heart, cardiovascular system",,"High blood pressure, loss of cardiovascular efficiency",Testosterone,Steroids,Dosage
AAS have been shown to alter fasting blood sugar and glucose tolerance tests. AAS such as testosterone increase the risk of cardiovascular disease or coronary artery disease.,Testosterone," Blood, heart, coronary artery",Cardiovascular disease,Testosterone,Steroids,
"The conversion of testosterone to testosterone can accelerate the rate of premature baldness in men who are genetically predisposed, but testosterone itself can cause baldness in women.",Testosterone,Hair follicle,Premature baldness,Testosterone,Steroids,
"Clotrimazole is a broad-spectrum antifungal drug used to treat fungal infections in humans and other animals, such as vaginal candidiasis or vaginal yeast infections.",Clotrimazole,Vagina,Vaginal candidiasis,,Fungicide,Candidiasis
" Oral thrush, ringworm, etc. It is also used to treat athlete's foot (tinea pedis) and jock itch (tinea cruris).",Clotrimazole,"Mouth, feet, forest","Oral thrush, candidiasis of the oral cavity",,Fungicide,"Candidiasis, ringworm, ringworm, athlete's foot, tinea pedis"
"Used to treat fungal infections, such as vaginal candidiasis or vaginal yeast infections,",Clotrimazole,Vagina,Vaginal candidiasis,,Fungicide,"Candidiasis, yeast infection"
"Oral thrush, ringworm, athlete's foot (tinea pedis) and jock itch (tinea cruris).",Clotrimazole,"Mouth, feet",Oral candidiasis,,Fungicide,Tinea pedis
"It is available as a 1% cream, vaginal tablets, and lozenges. Clotrimazole tablets are placed vaginally for vulvovaginal candidiasis.",Clotrimazole,Vagina,Vaginal candidiasis,,,"Cream, tablets, lozenges, vaginal candidiasis"
"It is used as a lozenge for oral thrush or infections of the mouth. [3] Betamethasone is often used in combination with clotrimazole to treat tinea corporis, tinea cruris, or tinea pedis.",Clotrimazole,Feet," Tinea corporis, tinea cruris",Betamethasone,Fungicide,"Lozenges, oral thrush, tinea, betamethasone"
"Although some amount is absorbed with topical use, it can be used during pregnancy and lactation.",Clotrimazole,,,,Fungicide," Topical use, absorption, pregnancy,"
Tablets may cause itching and vomiting. Vaginal tablets may cause irritation in the vagina and itching and burning in the penis of the male partner after sex.,,Vagina,"Itching, vomiting,",,,Tablet
Clotrimazole cream and suppositories contain oils that can weaken latex condoms.,Clotrimazole,,,,,"Cream, suppository, oil, latex condom"
Cotrimoxazole is an antibiotic composed of sulfamethoxazole and trimethoprim.,Cotrimoxazole,,,,Antibiotics," Sulfamethoxazole, trimethoprim"
Cotrimoxazole combines two antibiotics with different modes of action. Sulfamethoxazole inhibits the bacterial enzyme dihydropteroate synthase.,Cotrimoxazole,,,,Antibiotics,Sulfamethoxazole
"which is involved in the synthesis of folic acid. Trimethoprim inhibits dihydrofolate reductase, another enzyme important in the folic acid synthesis pathway. The combined effect is a potent bactericidal action against susceptible bacteria by effectively blocking folate metabolism.",Cotrimoxazole,,,,Antibiotics,Bactericidal action
"Significant improvement in symptoms often occurs within 24 to 48 hours, depending on severity. The full therapeutic effect is usually seen within a few days.",Cotrimoxazole,,,,Antibiotics,Therapeutic
Both sulfamethoxazole and trimethoprim are rapidly absorbed and achieve peak plasma concentrations within 1 to 4 hours after oral administration.,Cotrimoxazole,,,,Antibiotics,Plasma
Both sulfamethoxazole and trimethoprim are eliminated primarily by the kidneys. They are excreted in the urine as unchanged drug and metabolites. A small portion is metabolized in the liver before excretion.,Cotrimoxazole,Liver,,,Antibiotics,
"Monitor for signs of allergic reactions, especially in individuals with a history of sulfa allergy.",,,Allergies,,,
Regular monitoring of kidney and liver function during prolonged use.,,Kidneys and liver,,,,
Ensuring adequate hydration to prevent crystalluria and kidney damage.,,Crystalluria and the kidneys,,,,Hydration
"Anticoagulants such as warfarin, which may increase the risk of bleeding. Anticonvulsants such as phenytoin, which may require dose adjustment.","Warfarin, phenytoin",,,,Anticonvulsant,Risk of bleeding
"Blood disorders such as anemia or leukopenia, as Alcot 400 mg+80 mg Tablet may worsen these conditions.",Alcot 400 mg+80 mg Tablet,," Anemia, leukopenia",,,
